Date,Open,High,Low,Close,Adj Close,Volume
2019-12-10,54.680000,55.060001,54.330002,54.520000,52.541023,4364800
2019-12-11,55.040001,56.200001,55.029999,55.900002,53.870941,11028000
2019-12-12,57.250000,58.619999,57.020000,58.610001,56.482567,15788700
2019-12-13,59.049999,59.520000,58.250000,58.250000,56.135635,9886900
2019-12-16,58.290001,58.700001,58.290001,58.540001,56.415112,5779400
2019-12-17,59.709999,59.709999,58.779999,59.230000,57.080063,8407500
2019-12-18,59.599998,59.639999,58.720001,59.099998,56.954781,10021200
2019-12-19,58.500000,58.500000,57.880001,57.959999,56.246361,7228700
2019-12-20,57.779999,58.299999,57.320000,57.930000,56.217247,8043800
2019-12-23,58.029999,58.340000,57.950001,58.220001,56.498680,4022000
2019-12-24,57.990002,58.090000,57.549999,57.759998,56.052277,2692200
2019-12-26,57.799999,58.349998,57.759998,58.250000,56.527790,2490400
2019-12-27,58.529999,58.709999,58.330002,58.459999,56.731586,2847800
2019-12-30,58.660000,58.689999,57.619999,57.849998,56.139610,3519900
2019-12-31,57.680000,58.130001,57.459999,58.099998,56.382221,2950200
2020-01-02,59.599998,60.119999,59.599998,60.040001,58.264870,8432600
2020-01-03,58.970001,58.980000,58.040001,58.060001,56.343407,10546400
2020-01-06,57.599998,57.689999,57.130001,57.389999,55.693214,8897200
2020-01-07,57.450001,58.599998,56.740002,58.320000,56.595722,7444300
2020-01-08,58.189999,58.980000,58.110001,58.750000,57.013004,5381500
2020-01-09,59.689999,59.709999,58.700001,59.230000,57.478817,5112700
2020-01-10,59.700001,59.700001,58.770000,58.860001,57.119759,4807700
2020-01-13,60.150002,60.160000,59.450001,60.060001,58.284275,6613700
2020-01-14,60.160000,60.639999,59.919998,60.320000,58.536587,6715200
2020-01-15,59.669998,59.700001,58.259998,58.389999,56.663651,10075100
2020-01-16,59.200001,59.689999,58.299999,58.750000,57.013004,11215700
2020-01-17,58.639999,58.750000,58.009998,58.580002,56.848034,8125700
2020-01-21,57.990002,59.000000,57.470001,58.240002,56.518085,9873700
2020-01-22,58.900002,58.939999,58.320000,58.349998,56.624836,8124500
2020-01-23,57.860001,58.070000,56.619999,57.480000,55.780552,9999200
2020-01-24,58.090000,58.139999,57.459999,57.730000,56.023167,10402200
2020-01-27,55.619999,55.990002,55.060001,55.259998,53.626190,9675500
2020-01-28,55.730000,57.119999,55.480000,57.090000,55.402088,8124400
2020-01-29,57.520000,57.520000,56.849998,57.189999,55.499130,7693400
2020-01-30,55.080002,56.040001,55.060001,55.799999,54.150223,10295700
2020-01-31,55.430000,55.480000,53.599998,53.939999,52.345219,13467200
2020-02-03,54.349998,54.939999,54.139999,54.770000,53.150681,9596000
2020-02-04,56.919998,57.639999,56.900002,57.520000,55.819374,12746600
2020-02-05,58.099998,58.150002,57.169998,57.919998,56.207546,6594400
2020-02-06,58.270000,58.279999,57.279999,58.020000,56.304588,4236300
2020-02-07,57.139999,57.139999,56.060001,56.200001,54.538403,6808400
2020-02-10,56.439999,57.049999,56.340000,57.020000,55.334160,4281200
2020-02-11,57.950001,58.900002,57.810001,58.660000,56.925667,6523200
2020-02-12,59.250000,59.750000,58.900002,59.630001,57.866989,5962900
2020-02-13,59.130001,59.700001,58.740002,59.330002,57.575859,6460100
2020-02-14,59.020000,59.169998,57.869999,58.189999,56.469563,6932400
2020-02-18,56.099998,56.560001,55.630001,56.180000,54.518993,10989000
2020-02-19,57.250000,57.939999,57.000000,57.639999,55.935825,7866300
2020-02-20,56.939999,57.040001,55.810001,56.480000,54.810120,7192900
2020-02-21,56.650002,56.650002,55.520000,55.590000,53.946434,6816600
2020-02-24,53.549999,54.689999,53.180000,54.119999,52.519901,9968800
2020-02-25,55.330002,55.470001,53.830002,53.860001,52.267586,12670700
2020-02-26,54.490002,55.410000,54.380001,55.029999,53.402988,10969300
2020-02-27,54.200001,54.599998,53.270000,53.290001,51.714436,11878900
2020-02-28,51.349998,54.049999,51.000000,53.840000,52.248180,13607700
2020-03-02,54.369999,56.009998,53.830002,55.980000,54.324905,13797700
2020-03-03,56.299999,56.369999,54.040001,54.880001,53.257431,14661800
2020-03-04,55.970001,57.090000,55.549999,57.080002,55.392384,9878200
2020-03-05,56.110001,56.389999,55.250000,55.730000,54.082298,10004200
2020-03-06,54.599998,55.080002,53.970001,55.070000,53.441811,12971200
2020-03-09,51.549999,54.139999,51.060001,51.830002,50.297604,13781100
2020-03-10,53.709999,54.619999,52.490002,54.509998,52.898365,11698700
2020-03-11,53.110001,53.560001,52.090000,52.240002,50.695480,14498000
2020-03-12,49.660000,50.990002,48.509998,48.689999,47.250439,15942200
2020-03-13,51.900002,52.459999,49.290001,52.230000,50.685772,14948700
2020-03-16,46.340000,48.349998,44.900002,44.900002,43.572498,16628200
2020-03-17,45.750000,48.560001,45.029999,48.540001,47.104874,13415700
2020-03-18,43.799999,46.090000,43.259998,44.369999,43.058163,15018500
2020-03-19,43.740002,45.180000,42.700001,43.889999,42.996445,11182600
2020-03-20,48.020000,48.279999,44.480000,44.529999,43.623417,14157700
2020-03-23,45.119999,45.610001,43.520000,45.259998,44.338554,10508600
2020-03-24,48.000000,48.919998,47.500000,48.869999,47.875061,12216200
2020-03-25,49.299999,50.049999,48.049999,49.000000,48.002415,9796600
2020-03-26,49.099998,50.459999,48.919998,49.869999,48.854694,10577500
2020-03-27,47.230000,48.090000,46.509998,46.910000,45.954960,12158500
2020-03-30,47.180000,48.160000,46.770000,47.820000,46.846436,8428300
2020-03-31,47.799999,49.029999,47.660000,47.790001,46.817047,9595700
2020-04-01,46.830002,47.560001,46.299999,46.509998,45.563107,8755200
2020-04-02,46.919998,48.220001,46.610001,48.130001,47.150124,6174700
2020-04-03,47.790001,48.150002,46.779999,47.060001,46.101910,5486200
2020-04-06,48.630001,50.099998,48.509998,49.970001,48.952667,7370300
2020-04-07,51.290001,51.320000,49.660000,49.720001,48.707756,6568700
2020-04-08,50.209999,50.599998,49.540001,50.270000,49.246559,6325900
2020-04-09,50.279999,50.660000,47.720001,48.330002,47.346058,12279600
2020-04-13,48.740002,49.090000,47.959999,48.750000,47.757504,9873200
2020-04-14,50.000000,51.270000,49.950001,50.630001,49.599232,11068800
2020-04-15,49.759998,49.970001,49.040001,49.660000,48.648975,9398100
2020-04-16,51.810001,53.139999,51.680000,52.400002,51.333195,18615900
2020-04-17,54.130001,54.189999,53.000000,53.689999,52.596928,11288500
2020-04-20,53.000000,53.820000,52.560001,52.590000,51.519325,9901700
2020-04-21,51.599998,51.810001,50.520000,51.369999,50.324162,13102500
2020-04-22,52.480000,53.110001,52.410000,52.950001,51.871994,8256000
2020-04-23,52.810001,53.130001,52.259998,52.639999,51.568306,7619900
2020-04-24,52.599998,52.889999,52.000000,52.730000,51.656471,5701800
2020-04-27,53.150002,53.750000,52.970001,53.509998,52.420589,5812300
2020-04-28,53.509998,53.730000,52.680000,52.759998,51.685863,8561100
2020-04-29,53.750000,54.689999,53.430000,54.480000,53.370846,8565500
2020-04-30,54.200001,54.410000,52.959999,53.130001,52.048336,6337900
2020-05-01,52.480000,52.560001,51.090000,51.099998,50.059654,10238700
2020-05-04,51.790001,52.180000,51.279999,52.150002,51.088284,7514000
2020-05-05,52.209999,52.580002,51.580002,51.709999,50.657238,7780700
2020-05-06,52.110001,52.619999,52.000000,52.130001,51.068687,8206700
2020-05-07,52.950001,52.980000,52.099998,52.330002,51.264622,5493400
2020-05-08,52.619999,53.340000,52.470001,52.910000,51.832806,6087900
2020-05-11,52.610001,52.830002,52.380001,52.400002,51.333195,6459300
2020-05-12,52.639999,52.639999,51.080002,51.099998,50.059654,8584500
2020-05-13,51.910000,52.020000,50.480000,50.919998,49.883316,8611000
2020-05-14,50.430000,52.150002,49.790001,52.099998,51.039299,13695600
2020-05-15,50.560001,51.049999,49.380001,49.799999,48.786125,17777200
2020-05-18,50.939999,52.189999,50.770000,51.869999,50.813980,12731100
2020-05-19,51.349998,51.459999,50.799999,50.810001,49.775566,12940300
2020-05-20,51.580002,52.090000,50.500000,51.840000,50.784595,8406200
2020-05-21,52.099998,52.209999,50.689999,50.750000,49.716782,7842600
2020-05-22,50.840000,50.860001,49.610001,49.799999,48.786125,12462300
2020-05-26,51.299999,51.400002,50.790001,50.820000,49.785358,8872000
2020-05-27,51.029999,51.740002,50.750000,51.740002,50.686630,11405700
2020-05-28,51.459999,51.619999,50.099998,50.279999,49.256351,8178700
2020-05-29,50.340000,50.730000,49.860001,50.330002,49.305336,10919200
2020-06-01,50.910000,51.279999,50.540001,51.029999,49.991081,6187300
2020-06-02,51.450001,52.040001,51.290001,52.009998,50.951130,6063600
2020-06-03,52.639999,53.250000,52.419998,53.060001,51.979759,8380200
2020-06-04,53.060001,54.369999,53.029999,54.279999,53.174915,13269500
2020-06-05,55.500000,56.340000,55.060001,55.200001,54.076187,9776100
2020-06-08,55.740002,55.779999,54.709999,55.570000,54.438656,6302100
2020-06-09,55.290001,56.630001,54.950001,56.610001,55.457481,9355100
2020-06-10,56.820000,58.040001,56.820000,57.549999,56.378345,9194300
